id_obra,desc_obra,data_lancamento,id_imovel,bairro,valor_venal,valor_lancado,valor_pago,adimplente
1,Recapeamento Av. Central,2022-06-01,2,Centro,588249.33,935.15,935.15,1
1,Recapeamento Av. Central,2022-06-01,4,Centro,859695.85,1366.67,1366.67,1
1,Recapeamento Av. Central,2022-06-01,7,Centro,432066.07,686.86,686.86,1
1,Recapeamento Av. Central,2022-06-01,13,Centro,368665.06,586.07,586.07,1
1,Recapeamento Av. Central,2022-06-01,14,Centro,680549.46,1081.88,1081.88,1
1,Recapeamento Av. Central,2022-06-01,43,Centro,705301.19,1121.23,0.0,0
1,Recapeamento Av. Central,2022-06-01,44,Centro,221612.65,352.3,352.3,1
1,Recapeamento Av. Central,2022-06-01,63,Centro,898852.95,1428.92,1428.92,1
1,Recapeamento Av. Central,2022-06-01,70,Vila Nova,309154.11,491.47,491.47,1
1,Recapeamento Av. Central,2022-06-01,71,Centro,202509.98,321.93,321.93,1
1,Recapeamento Av. Central,2022-06-01,77,Centro,207909.31,330.52,330.52,1
1,Recapeamento Av. Central,2022-06-01,83,Vila Nova,265797.67,422.54,0.0,0
1,Recapeamento Av. Central,2022-06-01,86,Vila Nova,578865.69,920.23,920.23,1
1,Recapeamento Av. Central,2022-06-01,115,Vila Nova,520780.83,827.89,827.89,1
1,Recapeamento Av. Central,2022-06-01,116,Vila Nova,767268.39,1219.74,1219.74,1
1,Recapeamento Av. Central,2022-06-01,125,Vila Nova,600890.12,955.25,955.25,1
1,Recapeamento Av. Central,2022-06-01,131,Vila Nova,297240.41,472.53,472.53,1
1,Recapeamento Av. Central,2022-06-01,142,Vila Nova,763566.59,1213.86,1213.86,1
1,Recapeamento Av. Central,2022-06-01,143,Centro,497631.97,791.09,791.09,1
1,Recapeamento Av. Central,2022-06-01,156,Centro,733877.63,1166.66,0.0,0
1,Recapeamento Av. Central,2022-06-01,166,Centro,127310.41,202.39,202.39,1
1,Recapeamento Av. Central,2022-06-01,201,Vila Nova,1027263.93,1633.06,1633.06,1
1,Recapeamento Av. Central,2022-06-01,222,Centro,392649.69,624.2,624.2,1
1,Recapeamento Av. Central,2022-06-01,229,Vila Nova,150427.55,239.14,239.14,1
1,Recapeamento Av. Central,2022-06-01,231,Centro,774845.39,1231.79,1231.79,1
1,Recapeamento Av. Central,2022-06-01,238,Vila Nova,604840.12,961.53,0.0,0
1,Recapeamento Av. Central,2022-06-01,246,Vila Nova,104156.32,165.58,0.0,0
1,Recapeamento Av. Central,2022-06-01,251,Vila Nova,199601.84,317.31,0.0,0
1,Recapeamento Av. Central,2022-06-01,258,Centro,634936.88,1009.37,0.0,0
1,Recapeamento Av. Central,2022-06-01,265,Centro,494421.08,785.99,785.99,1
1,Recapeamento Av. Central,2022-06-01,280,Centro,181881.93,289.14,289.14,1
1,Recapeamento Av. Central,2022-06-01,294,Centro,380357.27,604.66,604.66,1
1,Recapeamento Av. Central,2022-06-01,315,Vila Nova,1329412.72,2113.39,2113.39,1
1,Recapeamento Av. Central,2022-06-01,333,Vila Nova,441359.95,701.64,0.0,0
1,Recapeamento Av. Central,2022-06-01,334,Centro,835800.55,1328.69,1328.69,1
1,Recapeamento Av. Central,2022-06-01,339,Centro,630797.61,1002.79,1002.79,1
1,Recapeamento Av. Central,2022-06-01,340,Centro,492319.96,782.65,782.65,1
1,Recapeamento Av. Central,2022-06-01,347,Vila Nova,460895.01,732.69,732.69,1
1,Recapeamento Av. Central,2022-06-01,362,Vila Nova,69603.26,110.65,0.0,0
1,Recapeamento Av. Central,2022-06-01,370,Centro,809104.2,1286.25,1286.25,1
1,Recapeamento Av. Central,2022-06-01,380,Centro,1187293.38,1887.46,1887.46,1
1,Recapeamento Av. Central,2022-06-01,389,Centro,922462.65,1466.46,0.0,0
1,Recapeamento Av. Central,2022-06-01,391,Vila Nova,351959.8,559.52,559.52,1
1,Recapeamento Av. Central,2022-06-01,394,Centro,116531.54,185.25,185.25,1
1,Recapeamento Av. Central,2022-06-01,396,Vila Nova,385617.95,613.02,613.02,1
1,Recapeamento Av. Central,2022-06-01,408,Centro,621846.39,988.56,988.56,1
1,Recapeamento Av. Central,2022-06-01,414,Centro,246216.59,391.42,0.0,0
1,Recapeamento Av. Central,2022-06-01,418,Centro,325067.68,516.77,516.77,1
1,Recapeamento Av. Central,2022-06-01,439,Centro,762745.73,1212.55,1212.55,1
1,Recapeamento Av. Central,2022-06-01,440,Centro,495056.17,787.0,787.0,1
1,Recapeamento Av. Central,2022-06-01,451,Centro,680474.85,1081.76,0.0,0
1,Recapeamento Av. Central,2022-06-01,459,Centro,414867.22,659.52,0.0,0
1,Recapeamento Av. Central,2022-06-01,460,Vila Nova,298640.96,474.76,0.0,0
1,Recapeamento Av. Central,2022-06-01,472,Centro,539151.17,857.1,857.1,1
1,Recapeamento Av. Central,2022-06-01,483,Vila Nova,849130.95,1349.88,1349.88,1
1,Recapeamento Av. Central,2022-06-01,516,Centro,173051.46,275.1,275.1,1
1,Recapeamento Av. Central,2022-06-01,537,Vila Nova,99241.91,157.77,157.77,1
1,Recapeamento Av. Central,2022-06-01,544,Vila Nova,339886.81,540.32,540.32,1
1,Recapeamento Av. Central,2022-06-01,562,Vila Nova,165894.73,263.73,263.73,1
1,Recapeamento Av. Central,2022-06-01,572,Vila Nova,555090.97,882.44,0.0,0
1,Recapeamento Av. Central,2022-06-01,575,Centro,580193.3,922.34,922.34,1
1,Recapeamento Av. Central,2022-06-01,576,Vila Nova,498761.87,792.89,792.89,1
1,Recapeamento Av. Central,2022-06-01,578,Vila Nova,383399.39,609.5,609.5,1
1,Recapeamento Av. Central,2022-06-01,591,Vila Nova,579001.08,920.45,0.0,0
1,Recapeamento Av. Central,2022-06-01,594,Centro,199521.52,317.18,317.18,1
1,Recapeamento Av. Central,2022-06-01,604,Centro,886308.28,1408.98,1408.98,1
1,Recapeamento Av. Central,2022-06-01,605,Vila Nova,330842.78,525.95,525.95,1
1,Recapeamento Av. Central,2022-06-01,607,Centro,472790.93,751.6,751.6,1
1,Recapeamento Av. Central,2022-06-01,614,Centro,299972.22,476.87,476.87,1
1,Recapeamento Av. Central,2022-06-01,623,Centro,601968.03,956.96,956.96,1
1,Recapeamento Av. Central,2022-06-01,630,Vila Nova,414503.13,658.94,658.94,1
1,Recapeamento Av. Central,2022-06-01,631,Vila Nova,362345.75,576.03,576.03,1
1,Recapeamento Av. Central,2022-06-01,636,Centro,867606.37,1379.25,0.0,0
1,Recapeamento Av. Central,2022-06-01,648,Centro,597244.72,949.45,949.45,1
1,Recapeamento Av. Central,2022-06-01,650,Vila Nova,262129.57,416.71,0.0,0
1,Recapeamento Av. Central,2022-06-01,651,Vila Nova,274202.02,435.9,435.9,1
1,Recapeamento Av. Central,2022-06-01,670,Vila Nova,196024.03,311.62,311.62,1
1,Recapeamento Av. Central,2022-06-01,681,Vila Nova,138211.56,219.72,0.0,0
1,Recapeamento Av. Central,2022-06-01,701,Vila Nova,152654.66,242.68,242.68,1
1,Recapeamento Av. Central,2022-06-01,729,Vila Nova,328944.04,522.93,522.93,1
1,Recapeamento Av. Central,2022-06-01,735,Centro,292308.74,464.69,464.69,1
1,Recapeamento Av. Central,2022-06-01,766,Vila Nova,1150569.31,1829.08,1829.08,1
1,Recapeamento Av. Central,2022-06-01,780,Vila Nova,193095.63,306.97,306.97,1
1,Recapeamento Av. Central,2022-06-01,790,Vila Nova,1033786.84,1643.43,1643.43,1
1,Recapeamento Av. Central,2022-06-01,793,Centro,494248.37,785.72,0.0,0
1,Recapeamento Av. Central,2022-06-01,796,Centro,720700.05,1145.71,1145.71,1
1,Recapeamento Av. Central,2022-06-01,801,Vila Nova,201514.03,320.35,320.35,1
1,Recapeamento Av. Central,2022-06-01,813,Centro,1392710.46,2214.02,2214.02,1
1,Recapeamento Av. Central,2022-06-01,818,Vila Nova,167389.09,266.1,266.1,1
1,Recapeamento Av. Central,2022-06-01,821,Centro,411485.84,654.15,654.15,1
1,Recapeamento Av. Central,2022-06-01,826,Centro,292775.85,465.43,465.43,1
1,Recapeamento Av. Central,2022-06-01,830,Centro,943824.34,1500.42,1500.42,1
1,Recapeamento Av. Central,2022-06-01,834,Vila Nova,132212.2,210.18,210.18,1
1,Recapeamento Av. Central,2022-06-01,839,Centro,562787.13,894.67,894.67,1
1,Recapeamento Av. Central,2022-06-01,846,Vila Nova,544732.01,865.97,865.97,1
1,Recapeamento Av. Central,2022-06-01,849,Vila Nova,72504.95,115.26,115.26,1
1,Recapeamento Av. Central,2022-06-01,854,Vila Nova,107743.62,171.28,171.28,1
1,Recapeamento Av. Central,2022-06-01,855,Centro,206677.34,328.56,328.56,1
1,Recapeamento Av. Central,2022-06-01,868,Vila Nova,782498.13,1243.95,1243.95,1
1,Recapeamento Av. Central,2022-06-01,878,Centro,321001.68,510.3,510.3,1
1,Recapeamento Av. Central,2022-06-01,884,Vila Nova,296974.63,472.11,472.11,1
1,Recapeamento Av. Central,2022-06-01,897,Vila Nova,1190054.36,1891.85,1891.85,1
1,Recapeamento Av. Central,2022-06-01,917,Centro,997157.54,1585.2,1585.2,1
1,Recapeamento Av. Central,2022-06-01,921,Centro,1580287.25,2512.21,2512.21,1
1,Recapeamento Av. Central,2022-06-01,924,Centro,329813.85,524.31,524.31,1
1,Recapeamento Av. Central,2022-06-01,926,Vila Nova,308196.87,489.95,0.0,0
1,Recapeamento Av. Central,2022-06-01,929,Vila Nova,285788.2,454.32,454.32,1
1,Recapeamento Av. Central,2022-06-01,936,Vila Nova,263530.72,418.94,418.94,1
1,Recapeamento Av. Central,2022-06-01,943,Centro,1011300.72,1607.68,1607.68,1
1,Recapeamento Av. Central,2022-06-01,960,Vila Nova,154701.29,245.93,0.0,0
1,Recapeamento Av. Central,2022-06-01,962,Vila Nova,314511.99,499.99,499.99,1
1,Recapeamento Av. Central,2022-06-01,968,Centro,912066.28,1449.93,1449.93,1
1,Recapeamento Av. Central,2022-06-01,970,Centro,345045.4,548.53,548.53,1
1,Recapeamento Av. Central,2022-06-01,972,Centro,508067.99,807.69,807.69,1
1,Recapeamento Av. Central,2022-06-01,973,Centro,47314.31,75.22,75.22,1
1,Recapeamento Av. Central,2022-06-01,987,Vila Nova,345796.92,549.72,0.0,0
1,Recapeamento Av. Central,2022-06-01,989,Centro,1606110.64,2553.26,2553.26,1
1,Recapeamento Av. Central,2022-06-01,993,Centro,355404.05,564.99,564.99,1
1,Recapeamento Av. Central,2022-06-01,994,Vila Nova,222876.96,354.31,354.31,1
1,Recapeamento Av. Central,2022-06-01,997,Vila Nova,488300.81,776.26,776.26,1
1,Recapeamento Av. Central,2022-06-01,1000,Centro,515384.18,819.32,819.32,1
1,Recapeamento Av. Central,2022-06-01,1003,Centro,585908.09,931.43,931.43,1
1,Recapeamento Av. Central,2022-06-01,1013,Centro,319986.3,508.69,508.69,1
1,Recapeamento Av. Central,2022-06-01,1025,Vila Nova,724436.68,1151.65,0.0,0
1,Recapeamento Av. Central,2022-06-01,1028,Centro,300903.69,478.35,478.35,1
1,Recapeamento Av. Central,2022-06-01,1036,Vila Nova,377284.22,599.78,599.78,1
1,Recapeamento Av. Central,2022-06-01,1052,Vila Nova,238075.74,378.47,378.47,1
1,Recapeamento Av. Central,2022-06-01,1054,Vila Nova,347602.97,552.59,552.59,1
1,Recapeamento Av. Central,2022-06-01,1085,Centro,2984190.78,4744.02,0.0,0
1,Recapeamento Av. Central,2022-06-01,1109,Centro,595918.7,947.34,947.34,1
1,Recapeamento Av. Central,2022-06-01,1112,Vila Nova,891771.31,1417.67,1417.67,1
1,Recapeamento Av. Central,2022-06-01,1116,Centro,975801.1,1551.25,1551.25,1
1,Recapeamento Av. Central,2022-06-01,1124,Centro,530334.82,843.08,843.08,1
1,Recapeamento Av. Central,2022-06-01,1128,Centro,1329279.6,2113.18,2113.18,1
1,Recapeamento Av. Central,2022-06-01,1129,Centro,357288.87,567.99,567.99,1
1,Recapeamento Av. Central,2022-06-01,1132,Centro,397643.93,632.14,632.14,1
1,Recapeamento Av. Central,2022-06-01,1143,Centro,163008.0,259.14,259.14,1
1,Recapeamento Av. Central,2022-06-01,1145,Centro,987842.6,1570.39,1570.39,1
1,Recapeamento Av. Central,2022-06-01,1155,Vila Nova,308892.78,491.05,491.05,1
1,Recapeamento Av. Central,2022-06-01,1162,Centro,737074.82,1171.74,1171.74,1
1,Recapeamento Av. Central,2022-06-01,1166,Vila Nova,564529.19,897.44,897.44,1
1,Recapeamento Av. Central,2022-06-01,1169,Vila Nova,88267.73,140.32,140.32,1
1,Recapeamento Av. Central,2022-06-01,1173,Vila Nova,525442.1,835.31,0.0,0
1,Recapeamento Av. Central,2022-06-01,1185,Vila Nova,267285.27,424.91,424.91,1
1,Recapeamento Av. Central,2022-06-01,1190,Vila Nova,333042.78,529.44,529.44,1
1,Recapeamento Av. Central,2022-06-01,1193,Vila Nova,199269.43,316.78,316.78,1
1,Recapeamento Av. Central,2022-06-01,1207,Centro,722747.6,1148.97,1148.97,1
1,Recapeamento Av. Central,2022-06-01,1212,Vila Nova,547584.45,870.51,870.51,1
