shap_porte_num,shap_regime_num,shap_gap_medio_pct,shap_gap_std,shap_taxa_omissao,shap_taxa_retificacao,shap_cv_receita,shap_slope_receita_norm,shap_razao_ultimo_media,shap_meses_sem_fiscalizacao,shap_n_acoes_historicas,shap_gap_vs_bench_pct,shap_n_meses_com_dados,id_contribuinte
-0.073615104,-0.029981624,0.33227015,-0.009515792,0.011276845,0.010928332,0.19127324,-0.61874807,-0.23555881,-5.7024155,-1.5755112,0.045743167,0.0,1
0.019788252,-0.011177447,-0.45720246,0.69486046,0.0096781375,-0.06933082,-0.37127703,-0.10129271,-0.20430821,-5.559888,-1.3455691,0.012446164,0.0,2
0.00770341,-0.03313052,-1.1508181,-0.46794173,0.019567864,0.029575985,-0.38085657,0.25684813,-0.0825258,-5.0846796,-1.3237841,-0.29700038,0.0,3
-0.0077943434,-0.029148739,-0.02115004,0.02924785,-0.08371686,0.013971649,-0.08803942,0.19622374,-1.3087373,-5.4818516,-1.4984758,-0.1207534,0.0,4
-0.072908886,0.006482594,0.30349293,-0.63110054,-0.06216639,-0.10963962,0.52966595,-0.17183387,-0.70506763,-5.618368,-1.4416754,-0.5042132,0.0,5
0.007243182,-0.026544392,0.29379973,0.14903702,-0.06942615,-0.2988109,0.3128931,0.14480568,-0.24036083,-5.689547,-1.6210669,0.2836385,0.0,6
-0.0010152028,-0.07290404,-1.3387728,0.5719614,0.009783726,-0.019983303,-0.28178835,-0.5126098,-0.5229902,-5.2638817,-1.2631655,-0.058936514,0.0,7
-0.0075973826,-0.019838488,-0.88141006,-0.2506294,0.007902544,-0.115432955,-0.44135743,0.20742399,0.40076342,-5.490624,-1.4024093,-0.007434487,0.0,8
0.024898635,-0.025659097,-0.5300534,-0.76099515,0.005390591,-0.016555678,0.110744305,0.021589374,-0.785107,-5.2947187,-1.306255,0.23653117,0.0,9
-0.06768462,-0.055219438,-1.2449039,-0.10867181,0.010245832,-0.0760962,-0.5254035,-0.5908303,-0.5849826,-4.895933,-1.0864887,-0.8966139,0.0,10
-0.062051266,-0.032857228,-1.146223,-0.6899164,0.009022461,-0.01838934,-0.49430734,-0.62687105,-0.38860136,-4.82168,-1.2310183,-0.90638846,0.0,11
-0.0018200907,-0.049123783,-1.1770872,0.61541057,0.006251859,-0.0065272413,-0.40171295,-0.58002603,-0.008961031,-5.2418385,-1.4247243,0.21720636,0.0,12
-0.06916232,-0.016782418,0.1800941,-0.84692866,-0.032231864,-0.13767074,0.53200066,0.17474332,-0.5934862,-5.4971023,-1.4650202,0.0021681543,0.0,13
-0.00838453,-0.016539846,-0.64438945,-0.98228985,0.003359395,-0.11432835,-0.45833415,-0.32066852,-0.07083055,-5.12585,-1.2872202,-0.24605455,0.0,14
-0.037254978,-0.040053654,-0.53406155,0.55090344,0.006251859,-0.0035323042,-0.091812216,-0.57013303,-0.24831103,-5.2006197,-1.4018142,-0.7733715,0.0,15
-0.103129864,-0.0024421304,-0.756365,-0.94989234,-0.0007396494,0.07159458,-0.8714324,0.19958179,-0.67602193,-4.9483514,-1.1522063,-0.71338284,0.0,16
0.00035221456,-0.02141647,0.14627632,0.15509962,-0.048670612,0.041741706,0.28753713,-0.58551276,-0.29996875,-5.6249743,-1.6023129,-0.17262748,0.0,17
-0.037709072,-0.039398108,-0.15017028,0.33727568,0.008782016,0.0018355476,-0.42608672,-0.2504971,0.1979154,-5.5468216,-1.4867053,-0.0148889525,0.0,18
-0.026693463,-0.03306628,-0.50775295,-0.6446965,0.0074752294,-0.015785124,-0.6649696,-0.6837294,-0.23839608,-5.060415,-1.37093,-0.44663936,0.0,19
0.0006486347,-0.04979948,-1.384136,-0.23565842,0.008162435,-0.0032966044,-0.4211073,-0.7012459,-0.76320213,-4.7104273,-1.2917197,-0.6345009,0.0,20
0.0060949945,0.00012494624,-0.7638739,-0.97675204,0.005828878,0.04625767,-0.52257544,-0.37620595,-0.051436856,-5.1859326,-1.2483636,-0.20759697,0.0,21
0.004265611,-0.028743837,0.49008378,0.167862,-0.07459863,0.07033216,0.5175276,0.26854536,-0.099796556,-5.8238645,-1.6339092,0.106826,0.0,22
-0.022947524,-0.023100458,0.28405228,-0.7935337,-0.04508528,-0.21738924,0.38211498,0.08088827,-0.027217446,-5.6820207,-1.5031507,-0.06370573,0.0,23
-0.03604423,-0.012569664,-1.0890924,-0.6352723,0.011634406,-0.07376596,-0.6686632,-0.90455455,-0.97077626,0.50780034,0.58213335,0.32537073,0.0,24
-0.047639996,-0.030120347,-1.1268373,0.5977997,0.010245832,-0.0836227,-0.055219363,-0.58536935,-0.060687743,-5.100925,-1.3158255,-0.87274677,0.0,25
-0.0029275399,-0.03809159,0.38766754,-0.44299182,-0.11120026,0.029539034,-0.08799001,-0.06595888,-0.06024885,-5.638464,-1.527334,-0.295967,0.0,26
-0.005823686,-0.044949725,0.85538775,0.06698203,0.011304309,0.0013516811,0.008039767,-0.32740906,-0.37492433,-5.5301924,-1.5857397,-0.26485625,0.0,27
-0.07672394,-0.02955871,1.065864,0.060163982,-0.08155567,-0.035485987,0.47967774,0.29507497,-0.076813124,-6.108312,-1.6600423,0.036454275,0.0,28
-0.00029403664,-0.013101164,-1.1747465,-0.28029686,0.008750735,-0.03316466,-0.42387393,-1.2673798,-0.850077,-4.758571,-1.2053013,-0.27194387,0.0,29
0.018994547,-0.004831018,-2.0343244,-0.90692914,0.014029136,0.0045475117,-0.74055207,-0.1291893,-0.4418578,0.676457,0.6086983,-0.48248777,0.0,30
-0.060593486,-0.06038161,-1.829912,-0.1423891,0.024703775,-0.0052336482,-0.40415594,0.25298256,-0.37443876,0.67760956,0.5766883,-0.8653939,0.0,31
0.008004241,-0.053012367,-0.5592054,-0.9255839,0.009250823,-0.009124234,-0.45906723,-0.6517713,-0.58779156,-4.9034142,-1.2357893,-0.103232,0.0,32
0.020061549,-0.0027598187,-0.5849172,0.08104387,0.01827189,-0.03730835,-0.01587152,0.18616618,0.7114553,1.2929534,0.64037174,0.19627118,0.0,33
0.02010634,-0.01916367,0.27293277,-0.7837908,-0.096962,0.07923614,0.6264498,0.19184953,-0.39663064,-5.5539026,-1.5066715,0.10289861,0.0,34
0.008037474,-0.0088499645,1.1241735,-0.0605687,0.024176247,-0.012766137,-0.1850954,0.32434478,-0.24984442,-5.836367,-1.6039169,0.04831934,0.0,35
-0.014860032,-0.07118974,-1.092914,-0.60785073,0.022494007,-0.022068735,-0.53341275,0.027617458,-0.23800538,-4.994131,-1.1875553,-0.7145532,0.0,36
0.03441941,-0.013807286,0.2694735,-0.09067959,0.0038018418,-0.09916146,-0.3970605,-0.2948468,-0.7961045,-5.391594,-1.5331795,0.10574408,0.0,37
-0.0072130617,-0.0079131825,0.2730776,-0.6381255,-0.09094761,-0.006588501,0.10370586,0.045892704,0.54190296,-5.6847687,-1.5220263,0.4821189,0.0,38
-0.00619705,-0.048366793,-0.37659913,0.59595037,0.008236494,-0.094542444,-0.57925975,-0.07129828,-0.11794673,-5.4527965,-1.4918811,0.21680778,0.0,39
